product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Alex Gina Sticker,SweetDreamCoffee (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Alex Gina Sticker,SweetDreamCoffee (Original),Original,Sticker,2,10.36,0,0,10.36,0,10.36,0.31,3.0,7.049999999999999
Io Egg Sticker 2.5,ancestralpotato (Original),Original,Sticker,1,3.5,0,0,3.5,0,3.5,0.1,1.0,2.4
Io Egg Sticker 2.5,ancestralpotato (Original),Original,Sticker,2,7,0,0,7,0,7,0.21,2.0,4.79
Yeetbun Print 12x12,TheJieb (Original),Original,Print,1,15,0,0,15,0,15,0.45,3.0,11.55
Boop Suit Sticker,Veune (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Wendie’s Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Voraisha Deskmat,KafeKafei (Collab) Voraisha,Collab,Deskmat,2,73.14,0,0,73.14,0,73.14,2.19,37.9,33.050000000000004
Tummy Ache Survivor,PrinceMatchaCakes (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Hot Mess Miri Photocard,Nyanilla (Original),Original,photo,2,12,0,0,12,0,12,0.36,3.0,8.64
Kaine Sticker,BambooAle (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Fat Girl Fall Purin 11x17 Print [PURINTOBER CHARITY],WaifuDekai (Original),Original,Print,1,20.88,0,0,20.88,0,20.88,0.63,3.5,16.75
Stellar Cafe Sticker,Skullgeist (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Devilish Azura Sticker,Bluuey (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Gravitational Pull,Lewdwok (Original),Original,Print,1,20,0,0,20,0,20,0.6,3.5,15.899999999999999
Gravitational Pull,Lewdwok (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Combo Meal 3x3 Sticker Pack,BurgerKurger (Original),Original,Sticker,3,44.25,0,0,44.25,0,44.25,1.33,13.5,29.42
Combo Meal 3x3 Sticker Pack,BurgerKurger (Original),Original,Sticker,3,35.69,0,0,35.69,0,35.69,1.07,10.5,24.119999999999997
BabyPink Waifu Material Sticker,Gaikiken (Collab) BabyPink,Collab,Sticker,2,10,0,0,10,0,10,0.3,4.0,5.699999999999999
BabyPink Waifu Material Sticker,Gaikiken (Collab) BabyPink,Collab,Sticker,1,5,0,0,5,0,5,0.15,2.0,2.8499999999999996
