product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Kaiyo Photocards,Dormir,Collab,Photocard,2,20.220,0.000,0.000,20.220,0.000,20.220,0.61,3.0,16.61
Summer Bnuuy Sticker,Meimei (Original),Original,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,0.15,1.5,3.3499999999999996
Lucien Logo Tee,Yorunomachi,,,2,73.000,0.000,0.000,73.000,2.160,75.160,2.25,44.86,28.049999999999997
Joei Heart Buttons,Joei (Commercial),Commercial,Button Pin,6,27.000,0.000,0.000,27.000,0.000,27.000,0.81,6.9,19.29
Savehymn Acrylic Standee,Bermuda (Collab),,Standee,14,254.580,-4.500,0.000,250.080,0.000,250.080,7.5,126.0,116.58000000000001
Zion Standee,Moxie,,Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,0.54,8.0,9.46
Yuyu Low-Poly Charm,Yume Kuzukawa (Commercial),Commercial,Acrylic Charm,2,24.000,0.000,0.000,24.000,0.000,24.000,0.72,7.0,16.28
Smol&Stronk Daki Cover,Near (Collab),Collab,dakimakura cover,1,69.990,0.000,0.000,69.990,0.000,69.990,2.1,12.0,55.89
Lina Office Print,Angelina Kumalo (Commercial),Commercial,Print,1,12.000,0.000,0.000,12.000,0.000,12.000,0.36,3.0,8.64
Joei Deskmat,Joei (Commercial),Commercial,Deskmat,5,160.660,0.000,0.000,160.660,0.000,160.660,4.82,94.75,61.09
Lucien Dakimakura Cover,Meimei (Collab),Collab,dakimakura cover,2,142.860,0.000,0.000,142.860,0.000,142.860,4.29,40.0,98.57000000000002
Joei Poster,Joei (Commercial),Commercial,Print,2,30.590,0.000,0.000,30.590,0.000,30.590,0.92,5.0,24.669999999999998
Nahoko Chibi Standee,Meimei (Collab),Collab,Standee,6,113.460,-28.360,0.000,85.100,0.000,85.100,2.55,51.0,31.549999999999997
Zion Mousepad,BotFishe (Collab),Collab,Mousepad,1,20.000,0.000,0.000,20.000,0.000,20.000,0.6,8.95,10.45
Podge's Mug,Yorunomachi,,,1,18.000,-4.500,0.000,13.500,0.000,13.500,0.4,9.95,3.1500000000000004
Joei Chibi Stickers,Joei (Commercial),Commercial,Sticker,3,24.000,0.000,0.000,24.000,0.000,24.000,0.72,9.0,14.280000000000001
Carded! Sticker,Veune- Original,,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,0.15,1.5,3.3499999999999996
