product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Smol&Stronk Daki Cover,Near (Collab),dakimakura cover,1,69.990,0.000,0.000,69.990,0.000,69.990,12.000,57.990
Lina Office Print,Angelina Kumalo (Commercial),Print,1,12.000,0.000,0.000,12.000,0.000,12.000,3.000,9.000
Joei Deskmat,Joei (Commercial),Deskmat,5,160.660,0.000,0.000,160.660,0.000,160.660,94.750,65.910
Lucien Dakimakura Cover,Meimei (Collab),dakimakura cover,2,142.860,0.000,0.000,142.860,0.000,142.860,40.000,102.860
Joei Poster,Joei (Commercial),Print,2,30.590,0.000,0.000,30.590,0.000,30.590,5.000,25.590
Nahoko Chibi Standee,Meimei (Collab),Standee,6,113.460,-28.360,0.000,85.100,0.000,85.100,51.000,34.100
Zion Mousepad,BotFishe (Collab),Mousepad,1,20.000,0.000,0.000,20.000,0.000,20.000,8.950,11.050
Podge's Mug,Yorunomachi,,1,18.000,-4.500,0.000,13.500,0.000,13.500,9.950,3.550
Joei Chibi Stickers,Joei (Commercial),Sticker,3,24.000,0.000,0.000,24.000,0.000,24.000,9.000,15.000
Carded! Sticker,Veune- Original,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
