product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Lyney Sticker 3.5'',matemi,Sticker,7,36.190,0.000,0.000,36.190,0.000,36.190,10.500,25.690
Io Egg Sticker 2.5'',ancestralpotato,Sticker,1,3.500,0.000,0.000,3.500,0.000,3.500,1.000,2.500
Farm Fresh Tee,KappAllNight,T-Shirt,1,32.000,0.000,0.000,32.000,0.000,32.000,25.940,6.060
Faeona's Break Standee [PRE-ORDER],YummyGoods,Standee,13,325.770,0.000,0.000,325.770,1.500,327.270,0.000,0.000
Miffu Bust Sticker,JujuNaught,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Liz Standee,Skullgeist,Standee,3,75.780,0.000,0.000,75.780,0.000,75.780,0.000,0.000
Kerfus Bikini 4'' Sticker,WaifuDekai,Sticker,0,6.640,0.000,-6.640,0.000,0.000,0.000,0.000,0.000
Stellar Cafe Print,Skullgeist,Print,1,20.000,0.000,0.000,20.000,0.000,20.000,3.500,16.500
Kerfus (2) 4'' Sticker,WaifuDekai,Sticker,2,11.000,-2.740,0.000,8.260,0.000,8.260,3.400,4.860
Baby/Lady Pink 3-D Mousepads,BabyPink (Commercial),3D Mousepad,1,35.000,0.000,0.000,35.000,0.000,35.000,15.000,20.000
Miss Maki Standee,Softon,Standee,22,552.480,-6.250,0.000,546.230,1.500,547.730,0.000,0.000
Pumpkin Letta Halloween Pinup Sticker,CriKai,Sticker,2,12.000,0.000,0.000,12.000,0.000,12.000,4.000,8.000
Jolly Emily Standee,SakanaNoTenshi,Standee,1,25.000,0.000,0.000,25.000,0.000,25.000,0.000,0.000
Fat Girl Fall Purin 11x17 Print [PURINTOBER CHARITY],WaifuDekai,Print,2,41.170,0.000,0.000,41.170,0.000,41.170,7.000,34.170
BabyPink Pinup Sticker,SwoleFin,Sticker,2,11.000,-1.370,0.000,9.630,0.000,9.630,4.000,5.630
Moomochi 3D Belly Mousepad (PRE-ORDER),KafeKafei,Belly Mousepad,5,250.000,0.000,0.000,250.000,0.000,250.000,100.000,150.000
Ash Grab Sticker,mofuuwafuwa,Sticker,2,10.530,0.000,0.000,10.530,0.000,10.530,3.000,7.530
Anise Hangin' Out Print,KappAllNight,print,2,30.000,0.000,0.000,30.000,0.000,30.000,5.000,25.000
Call Me Print,Velvet Bambi,print,3,54.000,0.000,0.000,54.000,0.000,54.000,9.000,45.000
Stellar Cafe Sticker,Skullgeist,Sticker,1,7.000,0.000,0.000,7.000,0.000,7.000,0.000,0.000
Mitsuri Sticker 3'',Bluuey,Sticker,2,10.000,-1.250,0.000,8.750,0.000,8.750,3.000,5.750
Thick Kim Print,SuperSpoe,Print,2,33.560,-0.780,0.000,32.780,0.000,32.780,5.500,27.280
BabyPink Shibari Sticker,Revesaulait,Sticker,2,10.000,-1.250,0.000,8.750,0.000,8.750,4.000,4.750
Gettin' Ready Brie Standee,Vetarix,Standee,3,75.000,0.000,0.000,75.000,0.000,75.000,0.000,0.000
Pinky Chibi Sticker,matemi,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Shie Sticker 3.5'',matemi,Sticker,1,5.160,0.000,0.000,5.160,0.000,5.160,1.500,3.660
Texan Waitress Print,Joekie3wl,print,1,20.000,0.000,0.000,20.000,0.000,20.000,3.500,16.500
Io Oppai 3D Mousepad,ancestralpotato,3D Mousepad,6,210.000,0.000,0.000,210.000,0.000,210.000,0.000,0.000
Fridge Raid,Mistko,,1,20.000,0.000,0.000,20.000,1.200,21.200,3.000,17.000
Luocha Print,matemi,Print,1,18.000,0.000,0.000,18.000,0.000,18.000,4.500,13.500
Poors Sticker Pack 2,Poors.,Sticker Sheet,2,24.000,-3.000,0.000,21.000,0.000,21.000,9.000,12.000
Kaiyo Daki Cover,Kaiyo (Commercial),Daki Cover,1,69.990,0.000,0.000,69.990,0.000,69.990,20.000,49.990
CocaCoca Original Poster,JujuNaught,Print,2,43.000,0.000,0.000,43.000,0.000,43.000,8.500,34.500
100% Beef Sticker,Bluuey,Sticker,3,15.000,-2.500,0.000,12.500,0.000,12.500,4.500,8.000
Stuck Standee,Velvet Bambi,Standee,6,150.440,0.000,0.000,150.440,0.000,150.440,0.000,0.000
Yeet Summer Prints,TheJieb,Print,1,34.000,0.000,0.000,34.000,0.000,34.000,7.000,27.000
Astolfo Sticker 3.5'',matemi,Sticker,8,40.840,0.000,0.000,40.840,0.000,40.840,12.000,28.840
Shie and Skia Print,matemi,Print,2,46.010,0.000,0.000,46.010,0.000,46.010,8.000,38.010
Kerfus Standees,WaifuDekai,Standee,6,210.000,0.000,0.000,210.000,2.700,212.700,0.000,0.000
This Cannot Be F*cking Real Inflation Sequence Sticker,Velvet Bambi,Sticker,5,61.130,0.000,0.000,61.130,0.000,61.130,22.500,38.630
Anise Booba Tea Sticker,KappAllNight,Sticker,1,5.000,-1.250,0.000,3.750,0.000,3.750,1.500,2.250
Molly Sticker,Angstrom,Sticker,1,5.000,-1.250,0.000,3.750,0.000,3.750,1.500,2.250
Lady Sticker,BambooAle,Sticker,5,25.000,-2.500,0.000,22.500,0.000,22.500,7.500,15.000
BabyPink Charm,Revesaulait,Charm,1,15.000,0.000,0.000,15.000,0.000,15.000,4.000,11.000
Loona Sticker 2,moiyablochki,Sticker,4,20.000,-1.250,0.000,18.750,0.000,18.750,6.000,12.750
Costa Del Fat,Mistko,,1,20.000,0.000,0.000,20.000,1.200,21.200,3.000,17.000
Candy Balloon Patchouli,Lifelinelemons,Sticker,1,7.450,-1.860,0.000,5.590,0.000,5.590,3.000,2.590
The Incident Standee,Nyanilla,Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,10.000,8.000
Pumpkin Letta Halloween 2024 Print,CriKai,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
Yeetbun Print 12x12,TheJieb,Print,1,15.000,0.000,0.000,15.000,0.000,15.000,3.000,12.000
Fat Gamer Girl Sticker,Joekie3wl,,3,15.000,0.000,0.000,15.000,0.000,15.000,1.500,3.500
Orpheus Print,Radium225,,1,15.000,0.000,0.000,15.000,0.000,15.000,2.500,12.500
Del Avry Bikini Pinup Sticker,CriKai,Sticker,2,12.000,0.000,0.000,12.000,0.000,12.000,1.500,3.500
"Kerfus (1) 3"" Sticker",WaifuDekai,Sticker,1,5.000,-1.250,0.000,3.750,0.000,3.750,1.500,2.250
Miffu Tiger Sticker,JujuNaught,Sticker,4,20.000,-1.250,0.000,18.750,0.000,18.750,6.000,12.750
Orbitz Intergalactic Cafe Print,Marauder6272,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
GamerAid Girls Stickers,SuperSpoe,Sticker,3,15.000,0.000,0.000,15.000,0.000,15.000,4.500,10.500
Orbitz Cafe Mug,Marauder6272,Mug,3,48.000,0.000,0.000,48.000,0.000,48.000,23.850,24.150
BAE-B Under the Covers Print (11x17),StixDraws,print,1,18.750,0.000,0.000,18.750,0.000,18.750,3.500,15.250
Pinky Booty Sticker,matemi,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,2.000,3.000
Michiru Sticker 3.5'',matemi,Sticker,5,25.000,-1.250,0.000,23.750,0.000,23.750,7.500,16.250
Satsuki Print,JujuNaught,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,2.500,22.500
For the Goddess Sticker Pack,HellBrains,Sticker Sheet,2,40.000,-5.000,0.000,35.000,0.000,35.000,12.000,23.000
Blimp Miri Sticker,Nyanilla,Sticker,2,10.000,0.000,0.000,10.000,0.000,10.000,3.000,7.000
Combo Meal 3x3 Sticker Pack,BurgerKurger,Sticker,7,75.510,-2.620,0.000,72.890,0.000,72.890,22.500,50.390
Wendie’s Print,JujuNaught,Print,1,18.000,0.000,0.000,18.000,0.000,18.000,3.000,15.000
A Big Fat Slice of Life: Sticky Treats Set,Better With Salt,Sticker Sheet,2,37.500,0.000,-11.250,26.250,0.000,26.250,7.000,19.250
Candy Balloon Gertrude,Lifelinelemons,Sticker,1,7.450,-1.860,0.000,5.590,0.000,5.590,3.000,2.590
Voraisha Deskmat,KafeKafei,Deskmat,1,35.950,0.000,0.000,35.950,0.000,35.950,18.950,17.000
Emily Cup - Ready to Order,SakanaNoTenshi,Water Bottle,2,40.000,0.000,0.000,40.000,0.000,40.000,19.900,20.100
Goths of Fodlan Sticker Collection,Bluuey,Sticker,1,25.000,-6.250,0.000,18.750,0.000,18.750,9.000,9.750
Uya Dairy Free Sticker,Klebo,Sticker,1,8.000,0.000,0.000,8.000,0.000,8.000,0.000,0.000
Iconic Plant Girl (Standee),Skullgeist,Standee,6,150.780,-5.000,0.000,145.780,0.000,145.780,0.000,0.000
X-BurgerG0dde55_Xx Photocard Set,KappAllNight,Photocard,13,305.730,0.000,0.000,305.730,0.000,305.730,91.250,214.480
Sneaker Mommy Sticker,Crystalcheese,Sticker,1,5.000,-1.250,0.000,3.750,0.000,3.750,1.500,2.250
Build-A-Batty Sticker Set,VeryBatty,Build A Sticker Sticker Sheet,1,20.000,-5.000,0.000,15.000,0.000,15.000,8.000,7.000
Vampire Christi Halloween Pinup Sticker,CriKai,Sticker,2,12.000,0.000,0.000,12.000,0.000,12.000,4.000,8.000
Io Oppai Print,ancestralpotato,Poster,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
Toasted Berries Sticker Sheet,CxC,Sticker Sheet,1,12.000,0.000,0.000,12.000,0.000,12.000,3.000,9.000
Marigold Shirt Pop Print,Mistko,Print,1,18.520,-0.930,0.000,17.590,0.000,17.590,3.000,14.590
2B Step Sticker,BambooAle,Sticker,8,45.000,-2.500,-5.000,37.500,0.000,37.500,12.000,25.500
Beef Beef 3'' Sticker,Ransome Rex,Sticker,2,10.000,0.000,0.000,10.000,0.000,10.000,3.000,7.000
9s Print,matemi,print,3,51.410,0.000,0.000,51.410,0.000,51.410,9.500,41.910
Delivery Girls Day Out Sticker,CriKai,Sticker,1,7.000,0.000,0.000,7.000,0.000,7.000,2.500,4.500
Io Cheeky Print,ancestralpotato,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
BabyPink Sticker Sheet,SwoleFin,Sticker Sheet,1,12.000,0.000,0.000,12.000,0.000,12.000,3.000,9.000
[ PRE-ORDER ]Panty and Stocking Hyper Standees,TheHelmetGuy,Standee,3,135.000,0.000,0.000,135.000,0.000,135.000,0.000,0.000
Dancer Dehya Print,StrongMoist,Print,1,15.560,-0.780,0.000,14.780,0.000,14.780,2.500,12.280
Loona Sticker 1,moiyablochki,Sticker,5,25.000,-1.250,0.000,23.750,0.000,23.750,7.500,16.250
Fajji Magazine Print,JujuNaught,Print,2,36.000,0.000,0.000,36.000,0.000,36.000,7.000,29.000
YeetBun Sticker Sheet,TheJieb,Sticker Sheet,2,18.370,0.000,0.000,18.370,0.000,18.370,5.000,13.370
Just One More Bite | Not Enough Bites Sticker Sheet!,SweetDreamCoffee,Sticker Sheet,2,25.000,0.000,0.000,25.000,0.000,25.000,7.000,18.000
Tummy Ache Survivor,PrinceMatchaCakes,Sticker,2,10.000,0.000,0.000,10.000,0.000,10.000,3.000,7.000
Galactic Secretary,Skullgeist,Sticker,2,10.190,-1.510,0.000,8.680,0.000,8.680,3.000,5.680
Letta Haste Pinup Sticker,CriKai,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,0.000,0.000
Big Stretch 4'' Sticker,KappAllNight,Sticker,3,15.000,0.000,0.000,15.000,0.000,15.000,5.250,9.750
Yeet Classic Print 11x11,TheJieb,Print,2,30.000,0.000,0.000,30.000,0.000,30.000,7.000,23.000
Blissfully Oblivious,Better With Salt,Print,1,15.000,0.000,0.000,15.000,0.900,15.900,2.500,12.500
"Emily 3"" Sticker",WaifuDekai,Sticker,1,5.000,-1.250,0.000,3.750,0.000,3.750,1.500,2.250
"Kerfus 3"" Sticker",WaifuDekai,Sticker,0,5.520,0.000,-5.520,0.000,0.000,0.000,0.000,0.000
Momoko Swimsuit Sticker,Crystalcheese,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Io Shower Print,ancestralpotato,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
Emotional Support BAE-B (ALT) Hoodie,StixDraws,Hoodie,1,55.000,0.000,0.000,55.000,3.300,58.300,42.450,12.550
Gaz Acantha Daki Cover,Gaz (Commercial),Daki Cover,3,375.000,0.000,0.000,375.000,0.000,375.000,120.000,255.000
Fapolantern OC Stickers,Fapolantern,Sticker,3,22.500,-2.500,0.000,20.000,0.000,20.000,7.500,12.500
Sweltering Sunbather Print,Better With Salt,Print,1,30.000,0.000,-15.000,15.000,0.000,15.000,2.500,12.500
Dinner Date Standee,VeryBatty,Standee,7,175.000,0.000,0.000,175.000,1.500,176.500,0.000,0.000
Stellar Cafe Charm,Skullgeist,Charm,1,15.000,0.000,0.000,15.000,0.000,15.000,0.000,0.000
Iconic Plant Girl Sticker,Skullgeist,Sticker,2,10.190,-1.510,0.000,8.680,0.000,8.680,3.000,5.680
Kaiyo Daki Keychain,Kaiyo (Commercial),Daki Keychain,1,12.500,0.000,0.000,12.500,0.000,12.500,3.500,9.000
Weh-Loon Sticker,Nyanilla,Sticker,2,10.000,-1.250,0.000,8.750,0.000,8.750,3.000,5.750
