product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Fat Girl Fall Purin 11x17 Print [PURINTOBER CHARITY],WaifuDekai (Original),Print,1,20.88,0,0,20.88,0,20.88,3.5,17.38
Stellar Cafe Sticker,Skullgeist (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Devilish Azura Sticker,Bluuey (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Gravitational Pull,Lewdwok (Original),Print,1,20,0,0,20,0,20,3.5,16.5
Gravitational Pull,Lewdwok (Original),Print,1,25,0,0,25,0,25,5,20
Combo Meal 3x3 Sticker Pack,BurgerKurger (Original),Sticker,3,44.25,0,0,44.25,0,44.25,13.5,30.75
Combo Meal 3x3 Sticker Pack,BurgerKurger (Original),Sticker,3,35.69,0,0,35.69,0,35.69,10.5,25.19
BabyPink Waifu Material Sticker,Gaikiken (Collab) BabyPink,Sticker,2,10,0,0,10,0,10,4,6
BabyPink Waifu Material Sticker,Gaikiken (Collab) BabyPink,Sticker,1,5,0,0,5,0,5,2,3
Fajji Magazine Print,JujuNaught (Original),Print,2,40,0,0,40,0,40,7.5,32.5
Balloon Squid Sticker,Skullgeist (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
BabyPink Shibari Sticker,Revesaulait (Collab) BabyPink,Sticker,1,5,0,0,5,0,5,2,3
Saa T-Shirt,IntoDebu (Collab) Saa Halust,T-Shirt,1,35,0,0,35,0,35,13.99,21.01
Nat and Halie Stylized Print,Better With Salt (Original),Print,0,18,0,-15,3,0,3,1,2
Nitroplus-Sized,Lewdwok (Original),Print,1,60,0,0,60,0,60,15,45
Yeet Classic Sticker Sheet,TheJieb (Original),Sticker Sheet,2,18,-1.35,0,16.65,0,16.65,5,11.65
Yeet Classic Sticker Sheet,TheJieb (Original),Sticker Sheet,2,18,0,0,18,0,18,5,13
Wide Load Bumper Stickers,KappAllNight (Original),Bumper Sticker,1,41.76,0,0,41.76,0,41.76,12,29.76
Shie Sticker 3.5'',matemi (Original),Sticker,3,15,0,0,15,0,15,4.5,10.5
Star and Stripe Print,JujuNaught (Original),Print,1,25,0,0,25,0,25,5,20
Persephone's Special Menu Charm,YummyGoods (Original),Charm,2,30,0,0,30,0,30,6,24
Persephone's Special Menu Charm,YummyGoods (Original),Charm,1,15,0,0,15,0,15,0,0
Flawless Beach Body Print,SweetDreamCoffee (Original),Print,1,15,0,0,15,0,15,2.5,12.5
Gaz Acantha Standee,Suika's Sweets (Collab) Gaz,Standee,1,20,0,0,20,0,20,9,11
Little Beast of Halloween Charm,Vetarix (Original),Charm,10,150,0,0,150,0,150,40,110
Little Beast of Halloween Charm,Vetarix (Original),Charm,6,90,-15,0,75,0,75,24,51
Fat Gamer Girl Sticker,Joekie3wl (Original),,1,5,0,0,5,0,5,1.5,3.5
Marigold Shirt Pop Print,Mistko (Original),Print,1,18,0,0,18,0,18,3,15
Podge 3D Mousepad,Podge (Commercial),3D Mousepad,1,30,0,0,30,0,30,15,15
Yeah I'm Toxic Tee,BeePunz (Original),,1,27,0,0,27,0,27,13.5,13.5
Puppers Sticker,Veune (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Letta Haste Pinup Sticker,CriKai (Original),Sticker,2,10,0,0,10,0,10,3,7
Washing Down Lunch Print,Better With Salt (Original),Print,1,15,0,0,15,0,15,2.5,12.5
Lofty Destroyer Print,Lewdwok (Original),Print,2,45,0,0,45,0,45,8.5,36.5
Baking Cake Print,Better With Salt (Original),Print,4,60,0,0,60,0.9,60.9,10,50
Miffu Tiger Sticker,JujuNaught (Original),Sticker,2,10,0,0,10,0,10,3,7
Flame Gal Bikini Sticker,Bulumblebee (Original),Sticker,6,30,0,0,30,0,30,9,21
Flame Gal Bikini Sticker,Bulumblebee (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
PRE-ORDER Barbatos Dakimakura,matemi (Original),Daki Cover,6,421.44,0,0,421.44,0,421.44,120,301.44
Galactic Secretary Sticker,Skullgeist (Original),Sticker,3,15,0,0,15,0,15,4.5,10.5
GamerAid Girls Stickers,SuperSpoe (Original),Sticker,3,15,0,0,15,0,15,4.5,10.5
