Origin,Artist Name,Item,Distribution Type,Total Value,Processing Fee,Cost,Profit,Ready?
YNE,Bermuda,Bermuda Muda Bellypad,Original,1401.05,42.03,560,799.02,y
YNE,KafeKafei,Moomochi 3D Belly Mousepad (PRE-ORDER),Original,250,7.5,100,142.5,n
