product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
X-BurgerG0dde55_Xx Photocard Set,KappAllNight (Original),Original,Photocard,2,52.200,0.000,0.000,52.200,0.000,52.200,1.57,15.0,35.63
Wide Load Bumper Stickers,KappAllNight (Original),Original,Bumper Sticker,1,41.760,0.000,0.000,41.760,0.000,41.760,1.25,12.0,28.509999999999998
Lifelinelemons Candy Girls 3' Charms,Lifelinelemons (Original),Original,Charm,3,39.150,0.000,0.000,39.150,0.000,39.150,1.17,9.0,28.979999999999997
Iconic Plant Girl (Standee),Skullgeist (Original),Original,Standee,1,26.100,0.000,0.000,26.100,0.000,26.100,0.78,10.0,15.32
Eleanor Standee,Mintrimo (Original),Original,Standee,1,26.100,0.000,0.000,26.100,0.000,26.100,0.78,0.0,25.32
Fat Girl Fall Purin 11x17 Print [PURINTOBER CHARITY],WaifuDekai (Original),Original,Print,1,20.880,0.000,0.000,20.880,0.000,20.880,0.63,3.5,16.75
Iconic Plant Girl Sticker,Skullgeist (Original),Original,Sticker,2,10.000,0.000,0.000,10.000,0.000,10.000,0.3,3.0,6.699999999999999
Pudgy Purin Sticker [PURINTOBER CHARITY],Beanni (Original),Original,Sticker,1,7.830,0.000,0.000,7.830,0.000,7.830,0.23,2.5,5.1
Retro Rat Sticker,Rattie (Original),Original,Sticker,1,5.220,0.000,0.000,5.220,0.000,5.220,0.16,1.5,3.5599999999999996
